# MesswertTabelle
#
# M e s s w e r t t a b e l l e  der Reihen:
#
# H_(d) cc(IWL,IWL)_NORM_[6] [3,3] Werte
# H_(e) cc(AL,AL)_NORM_[3741] [94,94] Werte
# H_(f) cc(BL,BL)_NORM_[143916] [131,131] Werte
# H_(d) cc(IWL,IWL)_NORM_[6] [3,3] Werte
# H_(e) cc(AL,AL)_NORM_[3741] [90,90] Werte
# H_(f) cc(IWL,BL)_NORM_[143916] [128,128] Werte
#
#
#x	y	x	y	x	y	x	y	x	y	x	y	
-0.17600	0.00000	-0.17600	0.02299	-0.17600	0.01086	-0.17600	0.00000	-0.17600	0.02032	-0.17600	0.01441	
-0.16400	0.00000	-0.16400	0.02352	-0.16400	0.01131	-0.16400	0.00000	-0.16400	0.02165	-0.16400	0.01499	
-0.15200	0.00000	-0.15200	0.02727	-0.15200	0.01289	-0.15200	0.00000	-0.15200	0.02138	-0.15200	0.01556	
-0.14000	0.00000	-0.14000	0.03047	-0.14000	0.01366	-0.14000	0.00000	-0.14000	0.02326	-0.14000	0.01882	
-0.12800	0.00000	-0.12800	0.03047	-0.12800	0.01434	-0.12800	0.00000	-0.12800	0.02646	-0.12800	0.02014	
-0.11600	0.00000	-0.11600	0.02780	-0.11600	0.01603	-0.11600	0.00000	-0.11600	0.02833	-0.11600	0.01866	
-0.10400	0.00000	-0.10400	0.02406	-0.10400	0.01683	-0.10400	0.00000	-0.10400	0.02593	-0.10400	0.02357	
-0.09200	0.00000	-0.09200	0.01898	-0.09200	0.02011	-0.09200	0.00000	-0.09200	0.01818	-0.09200	0.01973	
-0.08000	0.00000	-0.08000	0.02219	-0.08000	0.01986	-0.08000	0.00000	-0.08000	0.02112	-0.08000	0.02178	
-0.06800	0.00000	-0.06800	0.02112	-0.06800	0.01989	-0.06800	0.00000	-0.06800	0.02192	-0.06800	0.01657	
-0.05600	0.00000	-0.05600	0.01550	-0.05600	0.02472	-0.05600	0.00000	-0.05600	0.02005	-0.05600	0.02114	
-0.04400	0.00000	-0.04400	0.02112	-0.04400	0.02111	-0.04400	0.00000	-0.04400	0.02058	-0.04400	0.02197	
-0.03200	0.00000	-0.03200	0.01711	-0.03200	0.02264	-0.03200	0.00000	-0.03200	0.01577	-0.03200	0.01898	
-0.02000	0.00000	-0.02000	0.01951	-0.02000	0.01693	-0.02000	0.00000	-0.02000	0.01230	-0.02000	0.01593	
-0.00800	0.00000	-0.00800	0.01684	-0.00800	0.02035	-0.00800	0.00000	-0.00800	0.01417	-0.00800	0.01451	
0.00400	0.00000	0.00400	0.01337	0.00400	0.01978	0.00400	0.00000	0.00400	0.01577	0.00400	0.01405	
0.01600	0.00000	0.01600	0.01363	0.01600	0.01780	0.01600	0.00000	0.01600	0.01524	0.01600	0.01390	
0.02800	0.00000	0.02800	0.01390	0.02800	0.01597	0.02800	0.00000	0.02800	0.01711	0.02800	0.01304	
0.04000	0.00000	0.04000	0.01283	0.04000	0.01414	0.04000	0.00000	0.04000	0.01363	0.04000	0.01216	
0.05200	0.00000	0.05200	0.01203	0.05200	0.01345	0.05200	0.00000	0.05200	0.01230	0.05200	0.01251	
0.06400	0.00000	0.06400	0.00909	0.06400	0.01226	0.06400	0.00000	0.06400	0.01470	0.06400	0.01122	
0.07600	0.00000	0.07600	0.01256	0.07600	0.01169	0.07600	0.00000	0.07600	0.01363	0.07600	0.01094	
0.08800	0.00000	0.08800	0.00882	0.08800	0.01194	0.08800	0.00000	0.08800	0.00936	0.08800	0.01025	
0.10000	0.00000	0.10000	0.00615	0.10000	0.01082	0.10000	0.00000	0.10000	0.01443	0.10000	0.01042	
0.11200	0.00000	0.11200	0.00588	0.11200	0.01067	0.11200	0.00000	0.11200	0.00722	0.11200	0.00949	
0.12400	0.00000	0.12400	0.00481	0.12400	0.01019	0.12400	0.00000	0.12400	0.00775	0.12400	0.00884	
0.13600	0.00000	0.13600	0.00374	0.13600	0.00922	0.13600	0.00000	0.13600	0.00722	0.13600	0.00839	
0.14800	0.00000	0.14800	0.00508	0.14800	0.00939	0.14800	0.00000	0.14800	0.00508	0.14800	0.00741	
0.16000	0.00000	0.16000	0.00348	0.16000	0.00862	0.16000	0.00000	0.16000	0.00802	0.16000	0.00733	
0.17200	0.00000	0.17200	0.00428	0.17200	0.00747	0.17200	0.00000	0.17200	0.00401	0.17200	0.00709	
0.18400	0.00000	0.18400	0.00454	0.18400	0.00759	0.18400	0.00000	0.18400	0.00748	0.18400	0.00598	
0.19600	0.00000	0.19600	0.00321	0.19600	0.00713	0.19600	0.00000	0.19600	0.00428	0.19600	0.00566	
0.20800	0.00000	0.20800	0.00160	0.20800	0.00622	0.20800	0.00000	0.20800	0.00535	0.20800	0.00477	
0.22000	0.00000	0.22000	0.00374	0.22000	0.00587	0.22000	0.00000	0.22000	0.00535	0.22000	0.00495	
0.23200	0.00000	0.23200	0.00160	0.23200	0.00517	0.23200	0.00000	0.23200	0.00241	0.23200	0.00461	
0.24400	0.00000	0.24400	0.00267	0.24400	0.00400	0.24400	0.00000	0.24400	0.00107	0.24400	0.00399	
0.25600	0.00000	0.25600	0.00160	0.25600	0.00425	0.25600	0.00000	0.25600	0.00294	0.25600	0.00368	
0.26800	0.00000	0.26800	0.00267	0.26800	0.00429	0.26800	0.00000	0.26800	0.00267	0.26800	0.00320	
0.28000	0.00000	0.28000	0.00187	0.28000	0.00354	0.28000	0.00000	0.28000	0.00241	0.28000	0.00281	
0.29200	0.00000	0.29200	0.00134	0.29200	0.00347	0.29200	0.00000	0.29200	0.00241	0.29200	0.00252	
0.30400	0.00000	0.30400	0.00080	0.30400	0.00331	0.30400	0.00000	0.30400	0.00134	0.30400	0.00240	
0.31600	0.00000	0.31600	0.00107	0.31600	0.00258	0.31600	0.00000	0.31600	0.00053	0.31600	0.00176	
0.32800	0.00000	0.32800	0.00027	0.32800	0.00249	0.32800	0.00000	0.32800	0.00134	0.32800	0.00167	
0.34000	0.00000	0.34000	0.00080	0.34000	0.00213	0.34000	0.00000	0.34000	0.00107	0.34000	0.00159	
0.35200	0.00000	0.35200	0.00053	0.35200	0.00208	0.35200	0.00000	0.35200	0.00053	0.35200	0.00144	
